model,MAE,RMSE,MAPE,R2
Prophet,0.007842007576175897,0.01128998394798585,1.0443758056815622,0.13272117575145614
RandomForest,0.009010346845745643,0.011829894721559814,1.1941014809122326,0.047787555118769975
LSTM,0.010250101240588996,0.0126681490946895,1.3585188577366858,-0.09193912120474135
ARIMA,0.021157305074730792,0.02562942112377607,2.824019402454726,-3.4694047688398983
