period,attendances_type1,attendances_type2,attendances_type3,total_attendances,emergency_admissions,emergency_admissions_type1,pct_within_4h_all,pct_within_4h_type1,pct_within_4h_type2,pct_within_4h_type3,attendances_over_4h,attendances_under_4h,booked_attendances
2010-11-01,1111294.5714285714,53727.42857142859,486005.42857142846,1651027.4285714284,306842.1428571428,297832.0000000001,0.9718742234272824,0.9587522248826401,0.9973304404241515,0.9990646782898956,46436.42857142858,1604590.9999999998,
2010-12-01,1159203.8571428563,45536.428571428565,533000.8571428574,1737741.1428571432,328077.8571428571,318602.42857142864,0.9482562255696805,0.9236758183911199,0.9969129896001632,0.9975582992897895,89917.28571428568,1647823.8571428575,
2011-01-01,1133880.571428571,51584.857142857145,542331.2857142857,1727796.7142857143,317561.42857142875,308367.8571428572,0.9578137375122752,0.9365166197901417,0.9968152337064587,0.9986310423333761,72889.28571428572,1654907.4285714286,
2011-02-01,1053707.1428571425,51249.285714285725,494407.57142857113,1599364.000000001,281125.14285714284,276645.85714285716,0.9706490472820088,0.9560386119754065,0.9981295906563158,0.9989389898964215,46942.857142857174,1552421.1428571437,
2011-03-01,1225221.9999999993,57900.428571428565,580318.5714285714,1863441.0,314475.99999999994,308390.1428571428,0.9682454586511114,0.9525537879199502,0.9964495698280053,0.9985611351400585,59172.7142857143,1804268.2857142857,
2011-04-01,1197212.7142857148,54042.42857142857,593119.7142857146,1844374.8571428566,301585.99999999994,295579.85714285716,0.9688892651509331,0.9529780422120953,0.995289415459282,0.9986006197737002,57379.85714285712,1786994.9999999995,
2011-05-01,1221687.4285714289,57066.99999999999,594940.7142857144,1873695.142857144,305728.57142857136,299961.0,0.9707500823811406,0.9561202935705322,0.9925701368566773,0.9986987899154418,54805.42857142857,1818889.7142857153,
2011-06-01,1168467.857142857,54739.428571428565,562209.9999999998,1785417.2857142866,295677.85714285716,290243.57142857136,0.9710422237426529,0.9564789055264677,0.9965394492348164,0.9988273319323995,51701.714285714275,1733715.5714285723,
2011-07-01,1211065.8571428566,56203.71428571431,597689.8571428569,1864959.428571428,305165.0,299077.2857142858,0.9759322225010487,0.9638074418744008,0.9962940934254473,0.9985852672276998,44885.42857142856,1820073.9999999993,
2011-08-01,1135801.4285714286,51890.28571428572,570416.5714285715,1758108.2857142854,295952.5714285715,289883.57142857125,0.9743607536607123,0.9608779703695691,0.9977672672011276,0.9990781173458194,45076.57142857146,1713031.714285714,
2011-09-01,1162142.857142857,52329.285714285696,566738.4285714285,1781210.5714285718,297294.8571428572,291050.1428571427,0.9689018078715967,0.9531277197295636,0.9965657034438514,0.9986935267945479,55392.4285714286,1725818.1428571432,
2011-10-01,1200707.8571428573,54447.28571428574,593757.2857142858,1848912.4285714284,312210.85714285704,305952.14285714296,0.9662219187233391,0.9487957996205809,0.9962139002075402,0.9987111135598697,62452.71428571427,1786459.714285714,
2011-11-01,1134959.4285714277,51772.42857142857,554709.0000000001,1741440.8571428573,304188.1428571427,296725.7142857144,0.9660442920583169,0.948733346793013,0.9973096546148391,0.9985451831500841,59131.857142857145,1682309.0000000002,
2011-12-01,1141606.4285714282,47960.857142857145,542478.5714285712,1732045.8571428566,321017.28571428574,313713.5714285714,0.9579503050108951,0.9370703813986432,0.9976200830439108,0.998383346280959,72831.99999999994,1659213.8571428566,
2012-01-01,1137915.5714285711,51607.14285714283,547995.2857142857,1737518.0,315248.00000000006,307650.8571428572,0.9575563698168471,0.9357731661989988,0.9988484429065744,0.9989006683321311,73746.57142857142,1663771.4285714286,
2012-02-01,1120423.0000000002,51155.57142857144,532653.1428571428,1704231.714285714,303897.8571428574,296576.7142857143,0.9498735165288557,0.9248232905913979,0.9979111338242728,0.9979525673635912,85427.14285714283,1618804.5714285714,
2012-03-01,1263082.2857142864,58574.28571428571,611496.2857142857,1933152.8571428568,326064.5714285715,319222.57142857125,0.9653690085847916,0.9479762431494114,0.9956392371103848,0.9983952711779116,66946.99999999999,1866205.8571428568,
