period,attendances_type1,attendances_type2,attendances_type3,total_attendances,emergency_admissions,emergency_admissions_type1,pct_within_4h_all,pct_within_4h_type1,pct_within_4h_type2,pct_within_4h_type3,attendances_over_4h,attendances_under_4h,booked_attendances,year,month,quarter,covid_period,crs_period,pct_within_4h_all_lag_1,pct_within_4h_all_lag_3,pct_within_4h_all_lag_12,total_attendances_lag_1,total_attendances_lag_12,emergency_admissions_lag_1,target_roll_mean_3,target_roll_mean_12,split
2010-11-01,1111294.5714285714,53727.42857142859,486005.42857142846,1651027.4285714284,306842.1428571428,297832.0000000001,0.9718742234272824,0.9587522248826401,0.9973304404241515,0.9990646782898956,46436.42857142858,1604590.9999999998,20475.0,2010,11,4,0,0,0.9718742234272824,0.9718742234272824,0.9718742234272824,1651027.4285714284,1651027.4285714284,306842.1428571428,0.9718742234272824,0.9718742234272824,train
2010-12-01,1159203.8571428563,45536.428571428565,533000.8571428574,1737741.1428571432,328077.8571428571,318602.42857142864,0.9482562255696805,0.9236758183911199,0.9969129896001632,0.9975582992897895,89917.28571428568,1647823.8571428575,20475.0,2010,12,4,0,0,0.9718742234272824,0.9718742234272824,0.9718742234272824,1651027.4285714284,1651027.4285714284,306842.1428571428,0.9600652244984814,0.9600652244984814,train
2011-01-01,1133880.571428571,51584.857142857145,542331.2857142857,1727796.7142857143,317561.42857142875,308367.8571428572,0.9578137375122752,0.9365166197901417,0.9968152337064587,0.9986310423333761,72889.28571428572,1654907.4285714286,20475.0,2011,1,1,0,0,0.9482562255696805,0.9718742234272824,0.9718742234272824,1737741.1428571432,1651027.4285714284,328077.8571428571,0.9593147288364127,0.9593147288364127,train
2011-02-01,1053707.1428571425,51249.285714285725,494407.57142857113,1599364.000000001,281125.14285714284,276645.85714285716,0.9706490472820088,0.9560386119754065,0.9981295906563158,0.9989389898964215,46942.857142857174,1552421.1428571437,20475.0,2011,2,1,0,0,0.9578137375122752,0.9718742234272824,0.9718742234272824,1727796.7142857143,1651027.4285714284,317561.42857142875,0.9589063367879881,0.9621483084478117,train
2011-03-01,1225221.9999999993,57900.428571428565,580318.5714285714,1863441.0,314475.99999999994,308390.1428571428,0.9682454586511114,0.9525537879199502,0.9964495698280053,0.9985611351400585,59172.7142857143,1804268.2857142857,20475.0,2011,3,1,0,0,0.9706490472820088,0.9482562255696805,0.9718742234272824,1599364.000000001,1651027.4285714284,281125.14285714284,0.9655694144817986,0.9633677384884717,train
2011-04-01,1197212.7142857148,54042.42857142857,593119.7142857146,1844374.8571428566,301585.99999999994,295579.85714285716,0.9688892651509331,0.9529780422120953,0.995289415459282,0.9986006197737002,57379.85714285712,1786994.9999999995,20475.0,2011,4,2,0,0,0.9682454586511114,0.9578137375122752,0.9718742234272824,1863441.0,1651027.4285714284,314475.99999999994,0.9692612570280179,0.9642879929322152,train
2011-05-01,1221687.4285714289,57066.99999999999,594940.7142857144,1873695.142857144,305728.57142857136,299961.0,0.9707500823811406,0.9561202935705322,0.9925701368566773,0.9986987899154418,54805.42857142857,1818889.7142857153,20475.0,2011,5,2,0,0,0.9688892651509331,0.9706490472820088,0.9718742234272824,1844374.8571428566,1651027.4285714284,301585.99999999994,0.969294935394395,0.965211148567776,train
2011-06-01,1168467.857142857,54739.428571428565,562209.9999999998,1785417.2857142866,295677.85714285716,290243.57142857136,0.9710422237426529,0.9564789055264677,0.9965394492348164,0.9988273319323995,51701.714285714275,1733715.5714285723,20475.0,2011,6,2,0,0,0.9707500823811406,0.9682454586511114,0.9718742234272824,1873695.142857144,1651027.4285714284,305728.57142857136,0.9702271904249088,0.9659400329646356,train
2011-07-01,1211065.8571428566,56203.71428571431,597689.8571428569,1864959.428571428,305165.0,299077.2857142858,0.9759322225010487,0.9638074418744008,0.9962940934254473,0.9985852672276998,44885.42857142856,1820073.9999999993,20475.0,2011,7,3,0,0,0.9710422237426529,0.9688892651509331,0.9718742234272824,1785417.2857142866,1651027.4285714284,295677.85714285716,0.9725748428749474,0.9670502762464592,train
2011-08-01,1135801.4285714286,51890.28571428572,570416.5714285715,1758108.2857142854,295952.5714285715,289883.57142857125,0.9743607536607123,0.9608779703695691,0.9977672672011276,0.9990781173458194,45076.57142857146,1713031.714285714,20475.0,2011,8,3,0,0,0.9759322225010487,0.9707500823811406,0.9718742234272824,1864959.428571428,1651027.4285714284,305165.0,0.973778399968138,0.9677813239878846,train
